id,lat,lon
1252904280,-16.4003,-71.5022
1252905860,-16.4055,-71.5051
1252915358,-16.3994,-71.4977
1252918205,-16.4037,-71.5133
1252926478,-16.4009,-71.5098
1252928139,-16.4003,-71.502
1252934488,-16.398,-71.5074
1252942298,-16.3995,-71.5113
1252949252,-16.3964,-71.5036
1252950303,-16.4016,-71.4953
1252966851,-16.4054,-71.5129
1252969761,-16.397,-71.5088
1252987385,-16.4032,-71.5126
1252991119,-16.404,-71.513
1252992508,-16.4046,-71.5091
1252993710,-16.3972,-71.5032
1252996572,-16.4051,-71.5011
1252997273,-16.4009,-71.5006
1252999392,-16.3988,-71.5094
1253000681,-16.3991,-71.5031
1253000759,-16.3999,-71.5087
1253001866,-16.4027,-71.5121
1253005845,-16.3999,-71.5071
1253016503,-16.4008,-71.5007
1253020781,-16.3997,-71.5114
1253033361,-16.3998,-71.5088
1253035651,-16.3999,-71.5079
1264281100,-16.3945,-71.5072
1264281239,-16.3997,-71.5113
1264281835,-16.3997,-71.507
1264282295,-16.4029,-71.5111
1264282365,-16.401,-71.4983
1264282809,-16.4027,-71.4978
1264282882,-16.4,-71.5027
1264283419,-16.4006,-71.5067
1264283929,-16.3966,-71.5055
1264283966,-16.4052,-71.5019
1264284528,-16.3995,-71.5081
1264284614,-16.3997,-71.5105
1264284747,-16.3998,-71.5008
1264284924,-16.3989,-71.4988
1264285301,-16.3995,-71.503
1264285448,-16.3993,-71.5044
1264285469,-16.3979,-71.5038
1264285517,-16.4006,-71.5063
1264286637,-16.4023,-71.4973
1264286663,-16.3988,-71.501
1264287042,-16.3991,-71.4997
1264287241,-16.4001,-71.5012
1264287288,-16.4006,-71.5049
1264287384,-16.3998,-71.5035
1264287439,-16.4,-71.5053
1264287954,-16.401,-71.4986
1264289389,-16.4,-71.5024
1264289795,-16.4011,-71.4989
1264289971,-16.3994,-71.5029
1264290110,-16.4045,-71.5065
1264290111,-16.4006,-71.4998
1264291044,-16.3964,-71.5075
1264291292,-16.4052,-71.5027
1264291703,-16.3995,-71.5064
1264291816,-16.4011,-71.4977
1264292031,-16.4028,-71.5085
1264292244,-16.4051,-71.5123
1264292428,-16.4016,-71.5003
1264292594,-16.3987,-71.503
1264292823,-16.4054,-71.5043
1264292826,-16.4001,-71.504
1264293415,-16.3982,-71.499
1264293558,-16.3977,-71.4987
1264293812,-16.3961,-71.5088
1264294814,-16.3992,-71.5066
1264295319,-16.4053,-71.5035
1264295725,-16.4006,-71.5013
1264295985,-16.3978,-71.5051
1264296021,-16.3976,-71.5044
1264296080,-16.4003,-71.5059
1264296673,-16.4004,-71.4993
1264298845,-16.4048,-71.4985
1264299254,-16.401,-71.4989
1264299366,-16.4,-71.506
1264299703,-16.4013,-71.5061
1264299792,-16.4016,-71.5122
1264299884,-16.4011,-71.4993
1264300436,-16.3971,-71.5022
1264300630,-16.4003,-71.4985
1264300746,-16.4026,-71.5009
1264301604,-16.4014,-71.4967
1264302410,-16.3995,-71.5056
1264302774,-16.4003,-71.5019
1264303028,-16.4036,-71.5123
1264303257,-16.4011,-71.4977
1264304458,-16.4011,-71.4996
1264305801,-16.3978,-71.4989
1264306157,-16.4039,-71.5002
1264306255,-16.3986,-71.5004
1264307485,-16.3966,-71.4997
1264308212,-16.3998,-71.5079
1264309427,-16.4019,-71.5013
1264310443,-16.4025,-71.4988
1264310505,-16.3976,-71.5045
1264311903,-16.4048,-71.4984
1264314500,-16.4021,-71.4972
1264315053,-16.4049,-71.4997
1264315575,-16.398,-71.51
1264315946,-16.4,-71.5019
1264316624,-16.3994,-71.5047
1264316663,-16.3974,-71.5053
1264317267,-16.3999,-71.5001
1264317985,-16.4017,-71.4953
1264318435,-16.3977,-71.5067
1264319098,-16.3976,-71.505
1264319159,-16.4004,-71.5021
1264319547,-16.3972,-71.5028
1264319761,-16.4014,-71.5002
1264320534,-16.3973,-71.506
1264320992,-16.4011,-71.4983
1264321389,-16.3969,-71.5016
1264322723,-16.4024,-71.5079
1264323599,-16.3964,-71.5011
1264325102,-16.3981,-71.4997
1264325269,-16.4014,-71.5103
1264325511,-16.3997,-71.5097
1264327171,-16.3979,-71.4998
1264328102,-16.4031,-71.4984
1264328119,-16.3974,-71.5053
1264328479,-16.4042,-71.5008
1264330178,-16.3981,-71.5108
1264330308,-16.4001,-71.5013
1264330355,-16.401,-71.5055
1264330400,-16.4026,-71.5106
1264330487,-16.4002,-71.5071
1264330752,-16.4001,-71.4979
1264331849,-16.4012,-71.4975
1264331891,-16.3993,-71.5011
1264332760,-16.3982,-71.5081
1264333706,-16.4061,-71.509
1264333913,-16.3998,-71.5096
1264334345,-16.3963,-71.5017
1264334811,-16.4009,-71.5005
1264335678,-16.4046,-71.4998
1264335713,-16.3987,-71.5008
1264336296,-16.4028,-71.4996
1264336738,-16.3979,-71.503
1264336878,-16.4001,-71.5043
1264337199,-16.398,-71.4985
1264337242,-16.3968,-71.5038
1264337792,-16.4009,-71.5005
1264338120,-16.3988,-71.4982
1264338470,-16.3994,-71.503
1264338652,-16.3994,-71.5041
1264338669,-16.3979,-71.5038
1264338696,-16.4006,-71.5065
1264339297,-16.3977,-71.5048
1264339516,-16.3971,-71.4997
1264339652,-16.4011,-71.4993
1264339713,-16.3985,-71.5088
1264339845,-16.4004,-71.5008
1264339981,-16.4012,-71.4995
1264340024,-16.4004,-71.5069
1264340316,-16.4005,-71.4997
1264340845,-16.3997,-71.5014
1264341042,-16.3994,-71.5065
1264341456,-16.4,-71.5021
1264341521,-16.4034,-71.5095
1264342710,-16.3979,-71.4993
1264343308,-16.3978,-71.4996
1264343575,-16.4001,-71.5034
1264343729,-16.4001,-71.5011
1264344382,-16.4028,-71.4994
1264344514,-16.3976,-71.5047
1264344730,-16.4005,-71.5068
1264346072,-16.3977,-71.4986
1264346154,-16.3959,-71.5063
1264346212,-16.3966,-71.5048
1264346558,-16.3988,-71.5045
1264346645,-16.3991,-71.5073
1264347135,-16.4047,-71.4976
1264347300,-16.3991,-71.5048
1264347332,-16.3979,-71.5039
1264347667,-16.4034,-71.5022
1264347932,-16.3985,-71.5039
1264348063,-16.3996,-71.5114
1264348310,-16.3981,-71.4984
1264348800,-16.3976,-71.5052
1264349309,-16.4033,-71.5006
1264349706,-16.3966,-71.5061
1264352896,-16.4,-71.5026
1264355441,-16.4015,-71.5002
1264358684,-16.3971,-71.5046
1264359057,-16.3967,-71.5081
1264361450,-16.3979,-71.4999
1264362077,-16.3996,-71.4987
1264362284,-16.4022,-71.4999
1264363719,-16.3994,-71.503
1264364174,-16.4042,-71.5059
1264364229,-16.3973,-71.5052
1264364304,-16.3992,-71.5075
1264364935,-16.3983,-71.5097
1264365385,-16.4018,-71.497
1264365653,-16.4031,-71.5125
1264365872,-16.4001,-71.5016
1264366049,-16.3975,-71.5053
1264366120,-16.3999,-71.5071
1264366501,-16.3972,-71.5033
1264366592,-16.3999,-71.4999
1264367296,-16.3994,-71.5011
1264367749,-16.3991,-71.4996
1264367796,-16.3989,-71.506
1264367932,-16.4002,-71.5029
1264367979,-16.4002,-71.5042
1264368112,-16.401,-71.5006
1264368201,-16.4009,-71.5128
1264368375,-16.3972,-71.5024
1264368942,-16.4051,-71.5075
1264368943,-16.4021,-71.4998
2085212482,-16.3994,-71.5114
2085228800,-16.3995,-71.5067
2085228801,-16.3998,-71.507
2085228802,-16.4001,-71.5071
2085228803,-16.4003,-71.507
2085228804,-16.4005,-71.506
2085228805,-16.4006,-71.5074
2085228806,-16.4009,-71.508
2085228807,-16.4013,-71.5087
2085228809,-16.4017,-71.5093
2085228810,-16.4021,-71.5099
2085228815,-16.4025,-71.5106
2085228817,-16.4028,-71.5112
2085228818,-16.4032,-71.5118
2085228819,-16.4036,-71.5124
2742543118,-16.3997,-71.5113
4055397845,-16.4021,-71.5112
4055415288,-16.4029,-71.5111
4055417189,-16.4029,-71.5112
4106720384,-16.4039,-71.5129
4106720385,-16.404,-71.5129
4106720386,-16.4036,-71.5125
4106720387,-16.4037,-71.5124
4106720388,-16.4035,-71.5123
4106724789,-16.4036,-71.5123
4106724790,-16.4029,-71.5112
4106724791,-16.4028,-71.5111
4106724792,-16.4032,-71.5117
4106724793,-16.4031,-71.5117
4106724794,-16.4032,-71.5119
4106724795,-16.4033,-71.5118
4106724796,-16.4025,-71.5107
4106724797,-16.4026,-71.5106
4106724798,-16.4025,-71.5106
4106724799,-16.4025,-71.5105
4106724800,-16.4021,-71.51
4106724801,-16.4022,-71.5099
