id,lat,lon
255025391,-16.3962,-71.5365
255025392,-16.3945,-71.5359
257689298,-16.3971,-71.5369
257689328,-16.3939,-71.5357
257689498,-16.3933,-71.5354
257689500,-16.3936,-71.5356
257887190,-16.395,-71.5361
257887385,-16.396,-71.5365
461499177,-16.3968,-71.5343
461499178,-16.3972,-71.5332
462009629,-16.3992,-71.534
462009631,-16.3986,-71.5326
472283032,-16.3944,-71.532
531251996,-16.3939,-71.5318
531252138,-16.3942,-71.532
531252143,-16.3935,-71.5317
531270069,-16.3948,-71.5311
531270096,-16.3924,-71.5315
876655987,-16.3953,-71.5365
876655990,-16.3946,-71.5366
876655994,-16.3952,-71.5367
876655996,-16.3948,-71.5366
876655997,-16.3954,-71.5364
876655998,-16.3951,-71.5367
876655999,-16.3955,-71.5368
876656000,-16.3952,-71.5364
876656002,-16.3948,-71.5364
876656003,-16.3954,-71.5363
876656010,-16.3954,-71.5363
876656014,-16.3958,-71.5366
876656015,-16.3947,-71.5363
876656016,-16.3958,-71.5371
876656017,-16.3953,-71.5364
876656024,-16.3953,-71.5367
876656026,-16.395,-71.5364
876656032,-16.3953,-71.5365
876656034,-16.3958,-71.5369
876656039,-16.3946,-71.5367
876656046,-16.3976,-71.5371
876656052,-16.3952,-71.5365
876656053,-16.3952,-71.5365
876656059,-16.3961,-71.5365
876656064,-16.3949,-71.5364
876656066,-16.3954,-71.5364
876656074,-16.3952,-71.5364
876656084,-16.3951,-71.5364
876656089,-16.3958,-71.5368
876656091,-16.3946,-71.5366
876656094,-16.3957,-71.537
876656096,-16.3944,-71.5365
876656098,-16.3951,-71.5364
876656099,-16.3956,-71.5365
876656101,-16.3945,-71.5363
876656102,-16.3953,-71.5365
876656103,-16.3959,-71.5369
876656106,-16.3954,-71.5363
876656108,-16.3956,-71.5368
911043249,-16.3954,-71.5309
911059921,-16.3976,-71.5321
911059962,-16.399,-71.5315
914103715,-16.3955,-71.524
914103783,-16.3939,-71.5284
914103844,-16.398,-71.531
914103893,-16.3956,-71.5306
914202058,-16.3982,-71.5336
914626999,-16.3951,-71.5323
1252906565,-16.4001,-71.538
1252914267,-16.4047,-71.535
1252921146,-16.4005,-71.537
1252922332,-16.3973,-71.5294
1252938065,-16.3981,-71.524
1252953912,-16.3995,-71.5306
1252995416,-16.3998,-71.5391
1253000767,-16.3962,-71.5266
1253003891,-16.403,-71.5368
1253008354,-16.3991,-71.5376
1253029858,-16.3992,-71.531
1253035660,-16.4025,-71.5294
1253037869,-16.4026,-71.5378
1253038671,-16.3944,-71.5254
1264281373,-16.3995,-71.5366
1264282461,-16.3945,-71.5262
1264284856,-16.3941,-71.537
1264285805,-16.3974,-71.5231
1264286908,-16.4013,-71.5349
1264286952,-16.401,-71.5261
1264287203,-16.4003,-71.5284
1264288000,-16.3944,-71.5291
1264288209,-16.3969,-71.5305
1264288386,-16.3962,-71.5244
1264288606,-16.4007,-71.5334
1264288704,-16.4029,-71.5257
1264289574,-16.3958,-71.5376
1264289888,-16.3981,-71.5372
1264289932,-16.4035,-71.5306
1264292035,-16.4025,-71.5264
1264292491,-16.3986,-71.5363
1264295248,-16.4019,-71.5245
1264299965,-16.3948,-71.5258
1264301133,-16.3958,-71.5339
1264303660,-16.3977,-71.5383
1264303835,-16.4031,-71.5331
1264304149,-16.3978,-71.5306
1264307523,-16.4019,-71.5364
1264309103,-16.3936,-71.5367
1264309774,-16.4017,-71.5285
1264315838,-16.401,-71.5275
1264318163,-16.4011,-71.5323
1264318652,-16.3991,-71.5311
1264319163,-16.3946,-71.5256
1264319269,-16.3991,-71.5376
1264319559,-16.4,-71.5319
1264320225,-16.4056,-71.5354
1264322731,-16.4019,-71.5266
1264324958,-16.3973,-71.5241
1264325387,-16.4045,-71.5385
1264327387,-16.3946,-71.5371
1264327928,-16.4003,-71.5313
1264330047,-16.4008,-71.5263
1264330270,-16.4004,-71.5296
1264331970,-16.3959,-71.5248
1264334361,-16.3995,-71.5258
1264334938,-16.3939,-71.5293
1264336497,-16.3944,-71.5377
1264336700,-16.3999,-71.5263
1264337978,-16.4013,-71.5259
1264338519,-16.3973,-71.5252
1264339805,-16.3989,-71.5297
1264340226,-16.398,-71.536
1264340362,-16.3944,-71.5291
1264340713,-16.3959,-71.5263
1264340902,-16.4008,-71.5231
1264341523,-16.3956,-71.5375
1264342647,-16.3973,-71.524
1264342650,-16.3967,-71.5379
1264342828,-16.405,-71.5376
1264343625,-16.3982,-71.5372
1264343685,-16.4012,-71.5307
1264346824,-16.4025,-71.5251
1264347448,-16.3988,-71.5249
1264347845,-16.4038,-71.5346
1264348883,-16.3956,-71.5268
1264349178,-16.3996,-71.533
1264354452,-16.4035,-71.5324
1264358221,-16.3972,-71.5244
1264359790,-16.4016,-71.5373
1264363601,-16.4002,-71.5314
1264363866,-16.3983,-71.5268
1264365834,-16.4004,-71.5268
1264367119,-16.3951,-71.5256
1264367981,-16.3954,-71.535
1264368114,-16.3946,-71.5256
1264368161,-16.3994,-71.5367
1264368204,-16.4016,-71.531
1264369170,-16.3976,-71.5308
1284479729,-16.3947,-71.5335
1284479739,-16.3941,-71.5319
1284479824,-16.3952,-71.5355
1284479860,-16.3936,-71.533
1284479907,-16.3943,-71.5347
1284563153,-16.3963,-71.5294
1284563195,-16.3989,-71.5351
1284563231,-16.3971,-71.5298
1284563291,-16.3949,-71.5287
1284563296,-16.3963,-71.5284
1284563313,-16.3978,-71.5309
1284563421,-16.3962,-71.5328
1284563452,-16.3946,-71.5263
1284563454,-16.3978,-71.5347
1284563561,-16.3933,-71.5277
1284563574,-16.3964,-71.5354
1284563618,-16.3933,-71.5277
1284563628,-16.3963,-71.5285
1284563660,-16.3965,-71.5317
1284563664,-16.3966,-71.5261
1506390733,-16.3987,-71.5364
1506390734,-16.3994,-71.5368
1506390736,-16.3992,-71.5373
1506390739,-16.3993,-71.5371
1506390740,-16.3992,-71.5366
1506390743,-16.399,-71.5365
2084081650,-16.3933,-71.5317
2085088946,-16.3999,-71.5262
2085088948,-16.4019,-71.5244
2085170829,-16.3977,-71.5245
2365980323,-16.3941,-71.5352
2365980324,-16.3944,-71.5355
2365980325,-16.3944,-71.5354
2365980327,-16.3946,-71.5356
2365980329,-16.3946,-71.5354
2742577957,-16.397,-71.529
2905764707,-16.4002,-71.5364
2905764708,-16.4007,-71.5365
