way_id,lon,lat
110815520,-71.6136,-16.3314
110815520,-71.6137,-16.3315
110815520,-71.614,-16.3318
110815520,-71.6142,-16.3321
110815520,-71.6145,-16.3324
110815520,-71.6147,-16.3326
110815520,-71.6149,-16.3329
110815520,-71.615,-16.333
110815520,-71.6151,-16.3332
110815520,-71.6154,-16.3334
110815520,-71.6156,-16.3337
110815520,-71.6158,-16.3339
110815520,-71.616,-16.3342
110815520,-71.6161,-16.3343
110815520,-71.6162,-16.3344
110815520,-71.6164,-16.3346
110815520,-71.6164,-16.3347
110815520,-71.6168,-16.335
110815520,-71.6169,-16.3352
110815520,-71.6171,-16.3354
315271986,-71.6186,-16.3008
315271986,-71.6194,-16.3016
315271986,-71.6201,-16.3022
315271987,-71.6211,-16.2988
315271987,-71.6211,-16.2988
315271987,-71.6217,-16.2996
315271987,-71.6217,-16.2996
315271987,-71.6218,-16.2997
315271987,-71.6222,-16.3002
315271987,-71.6222,-16.3002
315271990,-71.6275,-16.301
315271990,-71.6278,-16.3013
315271990,-71.6281,-16.3015
315271990,-71.6281,-16.3016
315271991,-71.6186,-16.3008
315271991,-71.6189,-16.3006
315271991,-71.6189,-16.3005
315271991,-71.619,-16.3005
315271991,-71.619,-16.3005
315271991,-71.6192,-16.3004
315271991,-71.6194,-16.3003
315271991,-71.6196,-16.3003
315271991,-71.6198,-16.3001
315271991,-71.6199,-16.3
315271991,-71.62,-16.2999
315271991,-71.6201,-16.2999
315271991,-71.6201,-16.2998
315271991,-71.6202,-16.2997
315271991,-71.6202,-16.2996
315271991,-71.6203,-16.2995
315271991,-71.6203,-16.2994
315271991,-71.6204,-16.2993
315271991,-71.6204,-16.2993
315271991,-71.6205,-16.2992
315271991,-71.6205,-16.2992
315271991,-71.6206,-16.2991
315271992,-71.6185,-16.3025
315271992,-71.6185,-16.3024
315271992,-71.6177,-16.3017
315271992,-71.6176,-16.3016
315271993,-71.6283,-16.3056
315271993,-71.6286,-16.3064
315271993,-71.6288,-16.307
315271993,-71.629,-16.3076
315271993,-71.629,-16.3082
315271993,-71.6291,-16.3089
315271993,-71.6292,-16.3095
315271995,-71.619,-16.3035
315271995,-71.6189,-16.3034
315271996,-71.6272,-16.3107
315271996,-71.6262,-16.3091
315271996,-71.6251,-16.3073
315271997,-71.6198,-16.3013
315271997,-71.6194,-16.3016
315271997,-71.6194,-16.3016
315271997,-71.619,-16.302
315271997,-71.619,-16.302
315271997,-71.6189,-16.3021
315271997,-71.6188,-16.3022
315271997,-71.6188,-16.3022
315271997,-71.6186,-16.3024
315271997,-71.6185,-16.3025
315271997,-71.6185,-16.3025
315271997,-71.6183,-16.3028
315271998,-71.6181,-16.3012
315271998,-71.6181,-16.3012
315271998,-71.6189,-16.302
315271998,-71.619,-16.302
315271999,-71.6217,-16.3006
315271999,-71.6213,-16.3
315271999,-71.6212,-16.3
315271999,-71.6212,-16.2999
315271999,-71.6208,-16.2995
315271999,-71.6206,-16.2991
315272000,-71.6285,-16.2957
315272000,-71.6284,-16.2958
315272000,-71.6281,-16.296
315272000,-71.6277,-16.2963
315272000,-71.6273,-16.2966
315272001,-71.6195,-16.3028
315272001,-71.6194,-16.3027
315272001,-71.6189,-16.3022
315272001,-71.6188,-16.3022
315275239,-71.6303,-16.3106
315275239,-71.6304,-16.3106
315275239,-71.6307,-16.3106
315275239,-71.6312,-16.3105
315275239,-71.6324,-16.3104
315275239,-71.6325,-16.3104
315275239,-71.6327,-16.3103
315275239,-71.6334,-16.3101
315275239,-71.6335,-16.3101
315275241,-71.6291,-16.3061
315275241,-71.6286,-16.3064
315275242,-71.6297,-16.3072
315275242,-71.6294,-16.3066
315275242,-71.6291,-16.3061
315275242,-71.629,-16.306
315275242,-71.6289,-16.3058
315275242,-71.6286,-16.3055
315275243,-71.6294,-16.3066
315275243,-71.6288,-16.307
315275244,-71.6305,-16.3088
315275244,-71.6306,-16.3085
315275244,-71.6306,-16.308
315275244,-71.6307,-16.3077
315275244,-71.6307,-16.3074
315275244,-71.6307,-16.3074
315275244,-71.6307,-16.3073
315275244,-71.6307,-16.3071
315275244,-71.6308,-16.3068
315275244,-71.6308,-16.3067
315275244,-71.6308,-16.3066
315275244,-71.6308,-16.3066
315275244,-71.6308,-16.3065
315275244,-71.6309,-16.3062
315275244,-71.6309,-16.306
315275245,-71.6292,-16.305
315275245,-71.6282,-16.3032
315275245,-71.6279,-16.3029
315275245,-71.6279,-16.3028
315275245,-71.6279,-16.3027
315275245,-71.6277,-16.3027
315275246,-71.6343,-16.3046
315275246,-71.6334,-16.3051
315275246,-71.6325,-16.3056
315275246,-71.632,-16.3059
315275247,-71.6295,-16.3118
315275247,-71.6291,-16.3112
315275247,-71.6284,-16.31
