way_id,lon,lat
109453989,-71.5463,-16.308
109453989,-71.5463,-16.3081
109453989,-71.5463,-16.3081
109453989,-71.5465,-16.309
109453989,-71.5465,-16.3091
109453989,-71.5465,-16.3091
109453989,-71.5467,-16.31
109453989,-71.5467,-16.3101
109453989,-71.5467,-16.3101
110808692,-71.5497,-16.3084
110808692,-71.5496,-16.3085
110808692,-71.5493,-16.3085
110808692,-71.5492,-16.3085
110808692,-71.5491,-16.3086
110808692,-71.5488,-16.3086
110808692,-71.5487,-16.3086
110808692,-71.5486,-16.3086
110808692,-71.5476,-16.3089
110808692,-71.5475,-16.3089
110808692,-71.5474,-16.3089
110808692,-71.5471,-16.309
110808692,-71.547,-16.309
110808692,-71.5469,-16.309
110808692,-71.5466,-16.3091
110808692,-71.5465,-16.3091
110808692,-71.5464,-16.3091
110808692,-71.5461,-16.3092
110808692,-71.546,-16.3092
110808692,-71.5459,-16.3092
110808692,-71.5456,-16.3092
110808692,-71.5455,-16.3093
110808692,-71.5454,-16.3093
110808692,-71.5454,-16.3093
110808692,-71.5452,-16.3093
110813300,-71.5452,-16.3082
110813300,-71.5453,-16.3082
110813300,-71.5453,-16.3082
110813300,-71.5457,-16.3081
110813300,-71.5458,-16.3081
110813300,-71.5458,-16.3081
110813300,-71.5462,-16.308
110813300,-71.5463,-16.308
110813300,-71.5463,-16.308
110813300,-71.5467,-16.3079
110813300,-71.5468,-16.3079
110813300,-71.5468,-16.3079
110813300,-71.5472,-16.3078
110813300,-71.5473,-16.3078
110816172,-71.5473,-16.3079
110816172,-71.5473,-16.3079
110816172,-71.5474,-16.3083
110816172,-71.5474,-16.3084
110816172,-71.5474,-16.3084
110816172,-71.5475,-16.3088
110816172,-71.5475,-16.3089
110816172,-71.5475,-16.3089
110816172,-71.5476,-16.3093
110816172,-71.5476,-16.3094
110816172,-71.5476,-16.3095
110816172,-71.5477,-16.3098
110816172,-71.5477,-16.3099
110816172,-71.5477,-16.3099
110816298,-71.5498,-16.3063
110816298,-71.5493,-16.3063
110816298,-71.5488,-16.3065
110816298,-71.5483,-16.3066
110816298,-71.5471,-16.3068
110830437,-71.5468,-16.3079
110830437,-71.5468,-16.308
110830437,-71.5468,-16.308
110830437,-71.547,-16.3089
110830437,-71.547,-16.309
110830437,-71.547,-16.309
110830437,-71.5472,-16.3099
110830437,-71.5472,-16.31
110830437,-71.5472,-16.31
319942270,-71.5259,-16.317
319942270,-71.5258,-16.3167
319942270,-71.5258,-16.3167
319942270,-71.5256,-16.3158
319942270,-71.5253,-16.3146
319942270,-71.5252,-16.3142
319942270,-71.525,-16.3133
319942270,-71.5247,-16.3124
319942270,-71.5245,-16.3114
319942270,-71.5243,-16.3104
319942270,-71.524,-16.3094
319942270,-71.5238,-16.3083
319942270,-71.5234,-16.3072
319942271,-71.5139,-16.3041
319942271,-71.5148,-16.3037
319942271,-71.5149,-16.3037
319942271,-71.515,-16.3037
319942271,-71.515,-16.3037
319942271,-71.515,-16.3039
319942271,-71.5151,-16.3041
319942271,-71.5151,-16.3043
319942271,-71.5153,-16.3045
319942271,-71.5154,-16.3047
319942271,-71.5155,-16.3048
319942271,-71.5156,-16.3049
319942271,-71.5157,-16.305
319942271,-71.5158,-16.3051
319942271,-71.5158,-16.3051
319942271,-71.5158,-16.3052
319942271,-71.5159,-16.3053
319942271,-71.5159,-16.3053
319942271,-71.5158,-16.3054
319942274,-71.5218,-16.3023
319942274,-71.5218,-16.3027
319942274,-71.5219,-16.3032
319942274,-71.5219,-16.3036
319942274,-71.522,-16.3041
319942274,-71.5221,-16.3045
319942274,-71.5222,-16.305
319942274,-71.5223,-16.3055
319942274,-71.5224,-16.3059
319942274,-71.5224,-16.3062
319942274,-71.5224,-16.3064
319942274,-71.5225,-16.3068
319942274,-71.5225,-16.3074
319942276,-71.5224,-16.3059
319942276,-71.5228,-16.3059
319942276,-71.5233,-16.3058
319942276,-71.5234,-16.3058
319942278,-71.5232,-16.3085
319942278,-71.5238,-16.3083
319942278,-71.5242,-16.3082
319942278,-71.5248,-16.3081
319942278,-71.5252,-16.308
319942278,-71.5253,-16.308
319942278,-71.5253,-16.3079
319942278,-71.5254,-16.3079
319942278,-71.5255,-16.3079
319942278,-71.5256,-16.3079
319942278,-71.5258,-16.3079
319942278,-71.5259,-16.3079
319942278,-71.5261,-16.3078
319942278,-71.5264,-16.3077
319942278,-71.5269,-16.3077
319942280,-71.5268,-16.3165
319942280,-71.5266,-16.3155
319942280,-71.5263,-16.3145
319942280,-71.526,-16.313
319942280,-71.5258,-16.3121
319942280,-71.5255,-16.3111
319942280,-71.5253,-16.3102
319942280,-71.525,-16.3092
319942280,-71.5248,-16.3081
319942280,-71.5245,-16.3071
319942282,-71.5256,-16.3059
319942282,-71.5256,-16.3064
319942282,-71.5257,-16.3068
319942284,-71.5228,-16.3026
319942284,-71.5229,-16.303
319942284,-71.523,-16.3034
319942284,-71.5231,-16.3043
319942284,-71.5233,-16.3053
319942284,-71.5234,-16.3058
319942284,-71.5234,-16.3062
319942284,-71.5235,-16.3067
319942284,-71.5236,-16.3072
319942285,-71.5243,-16.3056
319942285,-71.5254,-16.3055
319942285,-71.5255,-16.3054
319942286,-71.5239,-16.3028
319942286,-71.524,-16.3033
319942286,-71.524,-16.3037
319942286,-71.5241,-16.3042
319942286,-71.5242,-16.3047
319942286,-71.5243,-16.3052
319942286,-71.5243,-16.3056
319942286,-71.5244,-16.3061
319942286,-71.5245,-16.3065
319942286,-71.5246,-16.3071
319942287,-71.5216,-16.3037
319942287,-71.5214,-16.3037
319942287,-71.5215,-16.3042
319942287,-71.5216,-16.3046
319942287,-71.5216,-16.3051
319942287,-71.5217,-16.3056
319942287,-71.5218,-16.3056
319942287,-71.5223,-16.3055
319942287,-71.5227,-16.3054
319942287,-71.5233,-16.3053
319942287,-71.5238,-16.3052
319942287,-71.5243,-16.3052
319942287,-71.5253,-16.305
319942288,-71.5261,-16.3058
319942288,-71.5259,-16.3058
319942288,-71.5256,-16.3059
319942288,-71.5244,-16.3061
319942288,-71.5239,-16.3062
319942288,-71.5234,-16.3062
319942288,-71.5229,-16.3063
319942288,-71.5224,-16.3064
319942289,-71.5269,-16.3077
319942289,-71.5271,-16.3087
319942289,-71.5273,-16.3098
319942289,-71.5274,-16.3108
319942289,-71.5276,-16.3118
319942289,-71.5278,-16.3127
319942290,-71.5219,-16.3032
319942290,-71.5229,-16.303
319942290,-71.5234,-16.3029
319942290,-71.5239,-16.3028
319942290,-71.5247,-16.3027
319942291,-71.5225,-16.3074
319942291,-71.5229,-16.3073
319942291,-71.523,-16.3073
319942291,-71.5234,-16.3072
319942291,-71.5236,-16.3072
319942291,-71.524,-16.3071
319942291,-71.5241,-16.3071
319942291,-71.5245,-16.3071
319942291,-71.5246,-16.3071
319942291,-71.525,-16.307
319942291,-71.5257,-16.3068
319942291,-71.5262,-16.3068
319942291,-71.5267,-16.3067
319942291,-71.527,-16.3066
319942293,-71.5121,-16.3083
319942293,-71.5126,-16.3081
319942293,-71.513,-16.3078
319942293,-71.5132,-16.3077
319942293,-71.5133,-16.3077
319942293,-71.5133,-16.3076
319942293,-71.5135,-16.3075
319942293,-71.5136,-16.3073
319942293,-71.5137,-16.3072
319942293,-71.5138,-16.3071
319942293,-71.5139,-16.3071
319942293,-71.5144,-16.3071
319942293,-71.5146,-16.3071
319942293,-71.5148,-16.307
319942293,-71.515,-16.3069
319942293,-71.515,-16.3067
319942293,-71.5151,-16.3065
319942293,-71.5151,-16.3064
319942293,-71.5153,-16.3062
319942293,-71.5154,-16.3061
319942293,-71.5154,-16.306
319942293,-71.5156,-16.3059
319942293,-71.5157,-16.3058
319942293,-71.5158,-16.3057
319942293,-71.5158,-16.3056
319942293,-71.5158,-16.3055
319942294,-71.5263,-16.31
319942294,-71.5261,-16.3089
319942294,-71.5259,-16.3079
