id,lat,lon
1252943242,-16.3115,-71.5493
1252949760,-16.3091,-71.5465
1264285973,-16.3084,-71.5497
1264300681,-16.3092,-71.546
1264314918,-16.3093,-71.5452
1264317957,-16.3111,-71.5492
1264320575,-16.3082,-71.5486
1264328774,-16.3106,-71.5491
1264337243,-16.3085,-71.5492
1264339316,-16.3092,-71.5488
1264339471,-16.308,-71.5463
1501763278,-16.2681,-71.4555
1501763280,-16.2684,-71.4565
1501763281,-16.2684,-71.4567
1501763282,-16.2685,-71.4582
1501763283,-16.2685,-71.4584
1501763285,-16.2685,-71.4565
1501763296,-16.2686,-71.4586
1501763297,-16.2686,-71.456
1501763299,-16.2686,-71.4581
1501763301,-16.2687,-71.4565
1501763303,-16.2687,-71.4569
1501763321,-16.2688,-71.4636
1501763323,-16.2688,-71.4633
1501763326,-16.2689,-71.4586
1501763329,-16.269,-71.4567
1501763339,-16.2689,-71.4581
1501763343,-16.2688,-71.4561
1501763347,-16.269,-71.464
1501763358,-16.2691,-71.457
1501763361,-16.2692,-71.4569
1501763363,-16.2693,-71.4581
1501763366,-16.2693,-71.4586
1501763368,-16.2694,-71.4564
1501763370,-16.2694,-71.4569
1501763371,-16.2695,-71.4566
1501763373,-16.2695,-71.458
1501763375,-16.2696,-71.4571
1501763380,-16.2698,-71.4592
1501763382,-16.2699,-71.4581
1501763395,-16.2701,-71.4576
1501763397,-16.2702,-71.4652
1501763402,-16.2704,-71.4585
1501763406,-16.2704,-71.4616
1501763409,-16.2705,-71.4653
1501763413,-16.2705,-71.4603
1501763415,-16.2707,-71.4609
1501763421,-16.2708,-71.4589
1501763428,-16.2709,-71.4585
1501763431,-16.271,-71.459
1501763433,-16.2711,-71.4587
1501763435,-16.2712,-71.4589
1501763482,-16.273,-71.4649
1501763486,-16.2735,-71.4646
1501763489,-16.2738,-71.4644
1501763491,-16.2742,-71.4643
1501763492,-16.2747,-71.4639
1501763494,-16.275,-71.4639
1501763498,-16.2755,-71.4641
1501763503,-16.2758,-71.4644
1501763505,-16.276,-71.4985
1501763506,-16.276,-71.4987
1501763508,-16.276,-71.4984
1501763509,-16.276,-71.4989
1501763510,-16.2761,-71.4645
1501763511,-16.2763,-71.4953
1501763512,-16.2765,-71.4956
1501763518,-16.2764,-71.4991
1501763520,-16.2764,-71.495
1501763523,-16.2767,-71.5074
1501763525,-16.277,-71.5073
1501763527,-16.277,-71.5066
1501763528,-16.277,-71.4967
1501763529,-16.277,-71.4994
1501763530,-16.277,-71.4968
1501763532,-16.2772,-71.4965
1501763534,-16.2772,-71.4643
1501763536,-16.2773,-71.496
1501763538,-16.2772,-71.5066
1501763541,-16.2773,-71.4972
1501763545,-16.2773,-71.4964
1501763546,-16.2774,-71.4977
1501763548,-16.2774,-71.5074
1501763549,-16.2774,-71.5062
1501763550,-16.2774,-71.4975
1501763551,-16.2775,-71.4999
1501763552,-16.2778,-71.5016
1501763553,-16.2778,-71.5014
1501763555,-16.2778,-71.506
1501763556,-16.2778,-71.5017
1501763557,-16.278,-71.5054
1501763559,-16.2779,-71.5076
1501763560,-16.278,-71.5056
1501763561,-16.278,-71.5014
1501763562,-16.2782,-71.5052
1501763564,-16.2778,-71.4948
1501763565,-16.2782,-71.5032
1501763566,-16.2782,-71.5023
1501763567,-16.2782,-71.5031
1501763568,-16.2782,-71.4641
1501763569,-16.2783,-71.5034
1501763571,-16.2783,-71.5028
1501763573,-16.2784,-71.5014
1501763575,-16.2786,-71.5086
1501763576,-16.2785,-71.5051
1501763577,-16.2786,-71.5013
1501763579,-16.2786,-71.5007
1501763580,-16.2787,-71.5078
1501763582,-16.2787,-71.501
1501763584,-16.2789,-71.5049
1501763585,-16.2788,-71.4701
1501763586,-16.2789,-71.5088
1501763587,-16.2788,-71.4703
1501763588,-16.2788,-71.5079
1501763590,-16.2789,-71.5091
1501763591,-16.2788,-71.5041
1501763592,-16.2788,-71.47
1501763593,-16.2789,-71.5096
1501763595,-16.2785,-71.4947
1501763596,-16.279,-71.5047
1501763597,-16.279,-71.5043
1501763598,-16.2791,-71.4698
1501763599,-16.2791,-71.4705
1501763601,-16.2792,-71.4639
1501763604,-16.2794,-71.5109
1501763605,-16.2794,-71.5108
1501763606,-16.2794,-71.51
1501763607,-16.2795,-71.5104
1501763608,-16.2796,-71.5112
1501763610,-16.2798,-71.4639
1501763611,-16.2799,-71.495
1501763613,-16.2801,-71.471
1501763614,-16.2801,-71.4653
1501763615,-16.2802,-71.4644
1501763617,-16.2802,-71.4647
1501763618,-16.2805,-71.4949
1501763619,-16.2803,-71.4659
1501763621,-16.2806,-71.4661
1501763622,-16.2806,-71.4713
1501763623,-16.2812,-71.4689
1501763624,-16.2812,-71.472
1501763625,-16.2814,-71.5119
1501763626,-16.2814,-71.4878
1501763627,-16.2815,-71.4883
1501763629,-16.2816,-71.4796
1501763630,-16.2816,-71.4801
1501763632,-16.2817,-71.4662
1501763635,-16.2816,-71.4876
1501763637,-16.2818,-71.4724
1501763639,-16.2818,-71.5155
1501763641,-16.2818,-71.467
1501763643,-16.2819,-71.5139
1501763644,-16.2819,-71.4674
1501763646,-16.2819,-71.4771
1501763648,-16.2819,-71.4749
1501763649,-16.282,-71.5165
1501763653,-16.282,-71.4668
1501763655,-16.282,-71.4744
1501763657,-16.2817,-71.4795
1501763659,-16.282,-71.4664
1501763661,-16.282,-71.477
1501763662,-16.282,-71.4889
1501763664,-16.2821,-71.4923
1501763665,-16.2823,-71.4776
1501763669,-16.2823,-71.4804
1501763670,-16.2821,-71.4676
1501763671,-16.282,-71.4754
1501763673,-16.2823,-71.4938
1501763674,-16.2822,-71.4925
1501763676,-16.2822,-71.4685
1501763678,-16.2825,-71.4723
1501763679,-16.2823,-71.4789
1501763680,-16.2823,-71.4921
1501763682,-16.2827,-71.4768
1501763683,-16.2824,-71.4683
1501763684,-16.2824,-71.4678
1501763685,-16.2824,-71.4736
