source_id,target_id,distance
1264339471,10307848386,7.53732
10307848386,1264339471,7.53732
10307848386,11347797706,6.91458
11347797706,10307848386,6.91458
11347797706,11347797728,99.8871
11347797728,11347797706,99.8871
11347797728,1252949760,6.82314
1252949760,11347797728,6.82314
1252949760,11347797730,7.79633
11347797730,1252949760,7.79633
11347797730,11347797736,100.166
11347797736,11347797730,100.166
11347797736,10536160365,6.53578
10536160365,11347797736,6.53578
10536160365,4743717029,6.6751
4743717029,10536160365,6.6751
1264285973,11345770176,5.86517
11345770176,1264285973,5.86517
11345770176,11345770175,37.5858
11345770175,11345770176,37.5858
11345770175,1264337243,8.59263
1264337243,11345770175,8.59263
1264337243,11345770173,7.37038
11345770173,1264337243,7.37038
11345770173,11347797718,38.2093
11347797718,11345770173,38.2093
11347797718,5224126072,7.58403
5224126072,11347797718,7.58403
5224126072,11347797716,8.12744
11347797716,5224126072,8.12744
11347797716,11347797721,117.012
11347797721,11347797716,117.012
11347797721,4855737338,7.54877
4855737338,11347797721,7.54877
4855737338,11347797719,7.71088
11347797719,4855737338,7.71088
11347797719,11347797726,39.6073
11347797726,11347797719,39.6073
11347797726,4743717032,6.34822
4743717032,11347797726,6.34822
4743717032,11347797724,7.88183
11347797724,4743717032,7.88183
11347797724,11347797729,38.7171
11347797729,11347797724,38.7171
11347797729,1252949760,7.5548
1252949760,11347797729,7.5548
1252949760,11347797727,8.1887
11347797727,1252949760,8.1887
11347797727,11347797733,37.9097
11347797733,11347797727,37.9097
11347797733,1264300681,7.85121
1264300681,11347797733,7.85121
1264300681,11347797731,7.99694
11347797731,1264300681,7.99694
11347797731,11347797708,39.5866
11347797708,11347797731,39.5866
11347797708,4743717022,7.09347
4743717022,11347797708,7.09347
4743717022,10536160342,7.72429
10536160342,4743717022,7.72429
10536160342,11347824817,7.10384
11347824817,10536160342,7.10384
11347824817,1264314918,23.3762
1264314918,11347824817,23.3762
10564767074,4743717023,8.43738
4743717023,10564767074,8.43738
4743717023,11347733989,7.25919
11347733989,4743717023,7.25919
11347733989,11347733983,39.2977
11347733983,11347733989,39.2977
11347733983,4743717025,7.67212
4743717025,11347733983,7.67212
4743717025,11347733969,7.10596
11347733969,4743717025,7.10596
11347733969,11347733963,40.473
11347733963,11347733969,40.473
11347733963,1264339471,7.58189
1264339471,11347733963,7.58189
1264339471,11347733949,7.30764
11347733949,1264339471,7.30764
11347733949,11347733943,39.3174
11347733943,11347733949,39.3174
11347733943,4743717030,7.75415
4743717030,11347733943,7.75415
4743717030,11347733928,6.85893
11347733928,4743717030,6.85893
