way_id,lon,lat
109450409,-71.4909,-16.4216
109450409,-71.4909,-16.4215
109450409,-71.4905,-16.4213
109450409,-71.4899,-16.421
109450409,-71.4895,-16.4208
109450409,-71.489,-16.4207
109450409,-71.4885,-16.4205
109450598,-71.4935,-16.4199
109450598,-71.4938,-16.4195
109450598,-71.494,-16.4191
109451669,-71.4859,-16.4212
109451669,-71.4854,-16.421
109451669,-71.485,-16.4208
109451669,-71.4848,-16.4207
109451669,-71.4847,-16.4206
109451669,-71.4846,-16.4206
109451669,-71.4844,-16.4204
109451669,-71.4842,-16.4202
109451669,-71.4838,-16.4199
109452076,-71.4897,-16.4299
109452076,-71.4894,-16.4298
109452076,-71.489,-16.4295
109452469,-71.4848,-16.4213
109452469,-71.4849,-16.421
109453048,-71.4888,-16.4233
109453048,-71.4886,-16.4231
109453048,-71.4885,-16.4229
109453048,-71.4883,-16.4228
109453048,-71.488,-16.4226
109453048,-71.4877,-16.4224
109453048,-71.4874,-16.4223
109453048,-71.487,-16.4221
109453048,-71.4865,-16.422
109453048,-71.4861,-16.4219
109453048,-71.4856,-16.4216
109453048,-71.4852,-16.4215
109453048,-71.4848,-16.4213
109453048,-71.4844,-16.4211
109453048,-71.4843,-16.4211
109453048,-71.4839,-16.4209
109453048,-71.4837,-16.4208
109453048,-71.4834,-16.4205
109453048,-71.483,-16.4203
109453119,-71.4916,-16.42
109453119,-71.4913,-16.4196
109453119,-71.4912,-16.4195
109453119,-71.491,-16.4193
109453119,-71.4908,-16.4192
109453119,-71.4907,-16.4192
109453445,-71.4899,-16.4289
109453445,-71.49,-16.4288
110806660,-71.492,-16.4223
110806660,-71.4919,-16.4221
110806660,-71.4918,-16.4221
110806660,-71.4918,-16.4219
110806660,-71.4918,-16.4218
110806660,-71.4917,-16.4216
110806908,-71.4909,-16.4212
110806908,-71.4909,-16.421
110806908,-71.4909,-16.4209
110806908,-71.4899,-16.4204
110806908,-71.4894,-16.4203
110806908,-71.4886,-16.4201
110806908,-71.4882,-16.4199
110806908,-71.4882,-16.4199
110806908,-71.4882,-16.4199
110806908,-71.4878,-16.4198
110806908,-71.4873,-16.4197
110806908,-71.4869,-16.4195
110806908,-71.4868,-16.4195
110806908,-71.4863,-16.4194
110806908,-71.486,-16.4193
110808672,-71.4739,-16.4201
110808672,-71.474,-16.4202
110808672,-71.4743,-16.4204
110808672,-71.4744,-16.4204
110809332,-71.492,-16.4331
110809332,-71.4917,-16.4328
110809332,-71.4914,-16.4324
110809332,-71.491,-16.4321
110809332,-71.4909,-16.432
110809332,-71.4907,-16.4319
110809332,-71.4906,-16.4318
110809332,-71.4905,-16.4318
110809332,-71.4905,-16.4318
110809451,-71.4728,-16.4205
110809451,-71.4723,-16.4207
110809451,-71.4722,-16.4207
110809451,-71.4717,-16.4209
110809451,-71.4716,-16.4209
110809451,-71.4715,-16.4209
110809451,-71.4708,-16.4212
110809451,-71.4702,-16.4214
110809451,-71.4696,-16.4217
110809451,-71.4689,-16.4219
110809451,-71.4682,-16.4221
110809451,-71.4676,-16.4223
110809451,-71.4669,-16.4226
110809451,-71.4663,-16.4228
110809451,-71.4657,-16.4231
110809451,-71.4655,-16.4232
110809451,-71.4653,-16.4232
110809451,-71.4651,-16.4233
110809451,-71.4646,-16.4234
110810113,-71.4856,-16.4216
110810113,-71.4857,-16.4215
110810473,-71.4932,-16.4218
110810473,-71.4935,-16.4216
110810473,-71.4938,-16.4214
