source_id,target_id,distance
1264320497,1264369243,12.3115
1264369243,1264320497,12.3115
1264369243,5413281637,45.814
5413281637,1264369243,45.814
5413281637,5413278010,67.9583
5413278010,5413281637,67.9583
5413278010,1264365461,48.3341
1264365461,5413278010,48.3341
1264365461,1264328221,52.7728
1264328221,1264365461,52.7728
1264328221,1264285644,59.5419
1264285644,1264328221,59.5419
1264339833,1264299587,55.3439
1264299587,1264339833,55.3439
1264299587,1264282694,51.5073
1264282694,1264299587,51.5073
5213022342,1264334002,49.7304
1264334002,5213022342,49.7304
1264334002,1264323328,49.1243
1264323328,1264334002,49.1243
1264323328,11036611180,29.7027
11036611180,1264323328,29.7027
11036611180,11036611181,13.9118
11036611181,11036611180,13.9118
11036611181,1264303601,6.26831
1264303601,11036611181,6.26831
1264303601,5213022339,29.3405
5213022339,1264303601,29.3405
5213022339,1264354130,30.6948
1264354130,5213022339,30.6948
1264354130,5381067400,52.5689
5381067400,1264354130,52.5689
1264281535,5416554546,38.2075
5416554546,1264281535,38.2075
5416554546,1264336127,54.6368
1264336127,5416554546,54.6368
1253012937,5213022340,31.2735
5213022340,1253012937,31.2735
1264284443,1264337560,27.9827
1264337560,1264284443,27.9827
1264337560,11054085253,24.1232
11054085253,1264337560,24.1232
11054085253,1264349790,20.1567
1264349790,11054085253,20.1567
1264349790,11054085252,40.3522
11054085252,1264349790,40.3522
11054085252,1264301536,39.3488
1264301536,11054085252,39.3488
1264301536,1264284582,33.6084
1264284582,1264301536,33.6084
1264284582,1264337695,48.5969
1264337695,1264284582,48.5969
1264337695,1264360825,51.1524
1264360825,1264337695,51.1524
1264360825,5410091207,51.2365
5410091207,1264360825,51.2365
5410091207,1264320598,57.7904
1264320598,5410091207,57.7904
1264320598,1264280972,44.9167
1264280972,1264320598,44.9167
1264280972,1253012937,50.913
1253012937,1264280972,50.913
1253012937,11231291237,49.2541
11231291237,1253012937,49.2541
11231291237,1264288323,6.81018
1264288323,11231291237,6.81018
1264288323,1264286612,43.3452
1264286612,1264288323,43.3452
1264286612,1264298207,26.3741
1264298207,1264286612,26.3741
1264298207,1264306083,46.3618
1264306083,1264298207,46.3618
1264306083,1264335633,47.9841
1264335633,1264306083,47.9841
1264283898,5213573196,49.9177
5213573196,1264283898,49.9177
5213573196,5410079095,21.7133
5410079095,5213573196,21.7133
5410079095,1264330785,25.8341
1264330785,5410079095,25.8341
1264330785,5213573192,24.4738
5213573192,1264330785,24.4738
5213573192,1264324064,12.7314
1264324064,5213573192,12.7314
1264314183,1264302202,13.8316
1264302202,1264314183,13.8316
1264333621,5213573170,16.264
5213573170,1264333621,16.264
5213573170,5213573181,10.9287
5213573181,5213573170,10.9287
5213573181,5213573182,17.0344
5213573182,5213573181,17.0344
5213573182,5213573171,12.0326
5213573171,5213573182,12.0326
5213573171,1264282341,26.4401
1264282341,5213573171,26.4401
4208411691,4208410588,24.0513
4208410588,4208411691,24.0513
4208410588,4208410587,6.98743
4208410587,4208410588,6.98743
4208410587,1252942052,123.052
1252942052,4208410587,123.052
1252942052,1264284592,48.6232
1264284592,1252942052,48.6232
1264284592,1264337712,87.4174
1264337712,1264284592,87.4174
