id,lat,lon
1252903106,-16.4226,-71.4926
1252904093,-16.4219,-71.4689
1252904712,-16.417,-71.4811
1252908914,-16.4197,-71.4823
1252914227,-16.4214,-71.4938
1252915247,-16.42,-71.49
1252916235,-16.4223,-71.4958
1252916494,-16.4236,-71.4884
1252921796,-16.4232,-71.4887
1252930982,-16.4321,-71.491
1252933359,-16.4287,-71.4895
1252936234,-16.4288,-71.5018
1252936454,-16.4349,-71.4834
1252938026,-16.4197,-71.4735
1252942052,-16.4204,-71.4899
1252946368,-16.4305,-71.4885
1252946854,-16.4352,-71.488
1252954291,-16.4292,-71.4898
1252956255,-16.424,-71.4937
1252966331,-16.4317,-71.4806
1252969455,-16.4229,-71.487
1252972687,-16.4352,-71.4875
1252973319,-16.4265,-71.4844
1252973544,-16.4218,-71.4925
1252978461,-16.4221,-71.4742
1252982415,-16.4232,-71.4867
1252986597,-16.4318,-71.4896
1252988272,-16.4217,-71.4756
1252988497,-16.4283,-71.4896
1252989049,-16.4264,-71.4902
1252990813,-16.4205,-71.487
1252991322,-16.4222,-71.493
1252992447,-16.4257,-71.4864
1252992693,-16.4227,-71.4929
1252992809,-16.4295,-71.4896
1252997247,-16.4185,-71.4734
1252997636,-16.4211,-71.4741
1252997918,-16.4297,-71.49
1252999885,-16.4221,-71.4846
1253000740,-16.4293,-71.4976
1253001021,-16.4309,-71.4896
1253001291,-16.4342,-71.4909
1253001561,-16.4217,-71.491
1253002047,-16.4249,-71.4924
1253002273,-16.4204,-71.4909
1253002358,-16.4162,-71.4835
1253003088,-16.4196,-71.4884
1253003287,-16.432,-71.4891
1253003378,-16.4324,-71.4914
1253004378,-16.4212,-71.4886
1253004657,-16.4287,-71.4945
1253006420,-16.4347,-71.4861
1253009543,-16.4311,-71.4881
1253009771,-16.4345,-71.4824
1253012921,-16.4186,-71.4846
1253012937,-16.4213,-71.4848
1253013430,-16.423,-71.493
1253014871,-16.4298,-71.4979
1253015183,-16.4216,-71.4743
1253025836,-16.4349,-71.4841
1253026501,-16.4189,-71.4888
1253033893,-16.4262,-71.4841
1253035630,-16.4219,-71.4912
1253037288,-16.4319,-71.4893
1253038136,-16.4317,-71.4812
1253038891,-16.4243,-71.4928
1264280972,-16.4215,-71.4852
1264281107,-16.4191,-71.4738
1264281176,-16.4161,-71.4824
1264281302,-16.422,-71.4857
1264281351,-16.4227,-71.4908
1264281535,-16.4299,-71.4897
1264281546,-16.4161,-71.483
1264281653,-16.4268,-71.4847
1264281994,-16.4341,-71.4866
1264282206,-16.4214,-71.4702
1264282267,-16.4265,-71.4915
1264282341,-16.4216,-71.4917
1264282519,-16.4288,-71.4941
1264282694,-16.4191,-71.494
1264282779,-16.4319,-71.4907
1264282871,-16.419,-71.4872
1264282947,-16.4219,-71.4957
1264283466,-16.4292,-71.5004
1264283470,-16.4222,-71.491
1264283737,-16.4255,-71.4922
1264283895,-16.4266,-71.49
1264283898,-16.42,-71.4916
1264284162,-16.432,-71.4888
1264284223,-16.4343,-71.489
1264284443,-16.4233,-71.4888
1264284582,-16.4223,-71.4874
1264284592,-16.4203,-71.4894
1264285000,-16.4256,-71.4848
1264285308,-16.4278,-71.4796
1264285390,-16.4248,-71.4898
1264285644,-16.4205,-71.4885
1264285712,-16.4309,-71.489
1264285738,-16.4249,-71.49
1264285928,-16.428,-71.4897
1264285931,-16.4193,-71.4918
1264286612,-16.4209,-71.4839
1264286846,-16.4318,-71.4905
1264287025,-16.4221,-71.4927
1264287069,-16.4342,-71.4803
1264287141,-16.4294,-71.4998
1264287227,-16.4338,-71.49
